start_terminal,duration_seconds,rank,,,,
31000,74,1,,,,
31000,291,2,,,,"SELECT start_terminal,"
31000,520,3,,,,"       duration_seconds,"
31000,424,4,,,,       RANK() OVER (PARTITION BY start_terminal
31000,447,4,,,,                    ORDER BY start_time)
31000,1422,6,,,,              AS rank
31000,348,7,,,,  FROM tutorial.dc_bikeshare_q1_2012
31000,277,8,,,, WHERE start_time < '2012-01-08'
31000,3340,9,,,,
31000,414,10,,,,
31000,398,10,,,,
31000,399,12,,,,
31000,412,12,,,,
31000,2661,14,,,,
31000,393,15,,,,
31000,387,15,,,,
31001,162,1,,,,
31001,2876,2,,,,
31001,2804,3,,,,
31001,2686,4,,,,
31001,5,5,,,,
31001,3598,6,,,,
31001,3624,6,,,,
31001,1426,8,,,,
31001,303,9,,,,
31001,269,10,,,,
31001,155,11,,,,
31001,304,12,,,,
31001,245,13,,,,
31001,173,14,,,,
31001,204,15,,,,
31001,220,15,,,,
31001,395,17,,,,
31001,47,18,,,,
31001,245,19,,,,
31001,181,20,,,,
31001,138,21,,,,
31001,138,22,,,,
31001,214,23,,,,
31001,294,24,,,,
31001,1103,25,,,,
31001,501,26,,,,
31001,286,27,,,,
31001,180,28,,,,
31001,155,29,,,,
31001,294,30,,,,
31001,800,31,,,,
31001,191,32,,,,
31001,1740,33,,,,
31001,1747,33,,,,
31001,338,35,,,,
31001,1157,36,,,,
31001,331,37,,,,
31001,188,38,,,,
31001,992,39,,,,
31001,120,40,,,,
31001,222,41,,,,
31001,222,41,,,,
31001,448,43,,,,
31001,156,44,,,,
31001,317,45,,,,
31001,738,46,,,,
31001,1264,47,,,,
31001,1168,48,,,,
31001,773,49,,,,
31001,202,50,,,,
31001,186,50,,,,
31001,212,52,,,,
31001,186,53,,,,
31001,179,54,,,,
31001,261,55,,,,
31001,256,55,,,,
31001,679,57,,,,
31001,1099,58,,,,
31001,160,59,,,,
31002,378,1,,,,
31002,305,2,,,,
31002,41427,3,,,,
31002,1202,3,,,,
31002,170,5,,,,
31002,213,6,,,,
31002,2050,7,,,,
31002,5113,8,,,,
31002,568,9,,,,
31002,578,9,,,,
31002,1015,11,,,,
31002,1491,12,,,,
31002,197,13,,,,
31002,1462,14,,,,
31002,71,15,,,,
31002,104,16,,,,
31002,1478,17,,,,
31002,1585,18,,,,
31002,297,19,,,,
31002,1359,20,,,,
31002,86,21,,,,
31002,90,22,,,,
31002,150,23,,,,
31002,974,24,,,,
31002,422,25,,,,
