start_terminal,start_time,duration_seconds,row_number,,,,
31245,01/01/2012 00:04,475,1,,,,
31400,01/01/2012 00:10,1162,2,,,,"SELECT start_terminal,"
31400,01/01/2012 00:10,1145,3,,,,"       start_time,"
31101,01/01/2012 00:15,485,4,,,,"       duration_seconds,"
31102,01/01/2012 00:15,471,5,,,,       ROW_NUMBER() OVER (ORDER BY start_time)
31017,01/01/2012 00:17,358,6,,,,                    AS row_number
31236,01/01/2012 00:18,1754,7,,,,  FROM tutorial.dc_bikeshare_q1_2012
31101,01/01/2012 00:22,259,8,,,, WHERE start_time < '2012-01-08'
31014,01/01/2012 00:24,516,9,,,,
31101,01/01/2012 00:25,913,10,,,,
31303,01/01/2012 00:29,1097,11,,,,
31222,01/01/2012 00:30,490,12,,,,
31230,01/01/2012 00:32,1045,13,,,,
31107,01/01/2012 00:32,1035,14,,,,
31107,01/01/2012 00:33,1060,15,,,,
31230,01/01/2012 00:33,1039,16,,,,
31237,01/01/2012 00:33,443,17,,,,
31109,01/01/2012 00:33,316,18,,,,
31203,01/01/2012 00:34,506,19,,,,
31214,01/01/2012 00:36,956,20,,,,
31214,01/01/2012 00:37,244,21,,,,
31216,01/01/2012 00:39,319,22,,,,
31606,01/01/2012 00:39,157,23,,,,
31244,01/01/2012 00:41,511,24,,,,
31221,01/01/2012 00:45,199,25,,,,
31201,01/01/2012 00:45,499,26,,,,
31201,01/01/2012 00:46,460,27,,,,
31200,01/01/2012 00:48,931,28,,,,
31602,01/01/2012 00:49,398,29,,,,
31214,01/01/2012 00:49,558,30,,,,
31214,01/01/2012 00:49,606,31,,,,
31100,01/01/2012 00:50,144,32,,,,
31104,01/01/2012 00:52,886,33,,,,
31613,01/01/2012 00:53,241,34,,,,
31606,01/01/2012 00:53,468,35,,,,
31606,01/01/2012 00:54,460,36,,,,
31606,01/01/2012 00:54,438,37,,,,
31606,01/01/2012 00:54,444,38,,,,
31218,01/01/2012 00:55,198,39,,,,
31218,01/01/2012 00:55,179,40,,,,
31002,01/01/2012 00:55,378,41,,,,
31002,01/01/2012 00:56,305,42,,,,
31111,01/01/2012 00:57,817,43,,,,
31600,01/01/2012 00:57,107,44,,,,
31104,01/01/2012 00:58,494,45,,,,
31214,01/01/2012 00:58,1206,46,,,,
31116,01/01/2012 00:59,845,47,,,,
31101,01/01/2012 00:59,410,48,,,,
31602,01/01/2012 01:02,114,49,,,,
31604,01/01/2012 01:04,1124,50,,,,
31611,01/01/2012 01:05,1013,51,,,,
31623,01/01/2012 01:08,360,52,,,,
31007,01/01/2012 01:08,160,53,,,,
31613,01/01/2012 01:09,542,54,,,,
31300,01/01/2012 01:09,1512,55,,,,
31203,01/01/2012 01:11,448,56,,,,
31109,01/01/2012 01:12,663,57,,,,
31201,01/01/2012 01:12,267,58,,,,
31305,01/01/2012 01:12,457,59,,,,
31603,01/01/2012 01:13,952,60,,,,
31201,01/01/2012 01:14,1212,61,,,,
31603,01/01/2012 01:14,922,62,,,,
31201,01/01/2012 01:14,1185,63,,,,
31102,01/01/2012 01:15,590,64,,,,
31305,01/01/2012 01:15,133,65,,,,
31103,01/01/2012 01:16,133,66,,,,
31002,01/01/2012 01:16,41427,67,,,,
31104,01/01/2012 01:16,228,68,,,,
31002,01/01/2012 01:16,1202,69,,,,
31107,01/01/2012 01:17,318,70,,,,
31113,01/01/2012 01:18,1268,71,,,,
31200,01/01/2012 01:19,695,72,,,,
31103,01/01/2012 01:19,354,73,,,,
31116,01/01/2012 01:20,614,74,,,,
31116,01/01/2012 01:21,570,75,,,,
31110,01/01/2012 01:22,425,76,,,,
31233,01/01/2012 01:23,1378,77,,,,
31307,01/01/2012 01:24,637,78,,,,
31214,01/01/2012 01:24,410,79,,,,
31007,01/01/2012 01:24,173,80,,,,
31111,01/01/2012 01:25,1130,81,,,,
31201,01/01/2012 01:25,142,82,,,,
31304,01/01/2012 01:29,586,83,,,,
31223,01/01/2012 01:30,547,84,,,,
31223,01/01/2012 01:30,506,85,,,,
31105,01/01/2012 01:31,572,86,,,,
31202,01/01/2012 01:31,450,87,,,,
31202,01/01/2012 01:32,425,88,,,,
31101,01/01/2012 01:32,406,89,,,,
31241,01/01/2012 01:32,1226,90,,,,
31623,01/01/2012 01:33,543,91,,,,
31107,01/01/2012 01:34,357,92,,,,
31241,01/01/2012 01:34,1150,93,,,,
31623,01/01/2012 01:34,477,94,,,,
31205,01/01/2012 01:34,1651,95,,,,
31618,01/01/2012 01:35,640,96,,,,
31241,01/01/2012 01:35,1005,97,,,,
31239,01/01/2012 01:36,456,98,,,,
31201,01/01/2012 01:36,170,99,,,,
31205,01/01/2012 01:37,1514,100,,,,
