location,btrim,,,,,,,
"(37.709725805163, -122.413623946206)","37.709725805163, -122.413623946206",,,,,,,"SELECT location,"
"(37.7154876086057, -122.47370623066)","37.7154876086057, -122.47370623066",,,,,,,       TRIM(both '()' FROM location)
"(37.7686887134351, -122.435718550322)","37.7686887134351, -122.435718550322",,,,,,,  FROM tutorial.sf_crime_incidents_2014_01
"(37.8086250595467, -122.412527239682)","37.8086250595467, -122.412527239682",,,,,,,
"(37.7750814399634, -122.414633686589)","37.7750814399634, -122.414633686589",,,,,,,
"(37.7716335058168, -122.421324876076)","37.7716335058168, -122.421324876076",,,,,,,
"(37.7798376142327, -122.464337779551)","37.7798376142327, -122.464337779551",,,,,,,
"(37.7940182573369, -122.401338334577)","37.7940182573369, -122.401338334577",,,,,,,
"(37.7850491022697, -122.406659517434)","37.7850491022697, -122.406659517434",,,,,,,
"(37.7276340992506, -122.403595293514)","37.7276340992506, -122.403595293514",,,,,,,
"(37.7461152780528, -122.446066944717)","37.7461152780528, -122.446066944717",,,,,,,
"(37.718954166945, -122.50022040363)","37.718954166945, -122.50022040363",,,,,,,
"(37.7724965522266, -122.465838183623)","37.7724965522266, -122.465838183623",,,,,,,
"(37.7681470009312, -122.454877622403)","37.7681470009312, -122.454877622403",,,,,,,
"(37.7793161544586, -122.411129232783)","37.7793161544586, -122.411129232783",,,,,,,
"(37.7650501214668, -122.419671780296)","37.7650501214668, -122.419671780296",,,,,,,
"(37.7542080589805, -122.396076588569)","37.7542080589805, -122.396076588569",,,,,,,
"(37.7664562802319, -122.464413831456)","37.7664562802319, -122.464413831456",,,,,,,
"(37.7762540028806, -122.420676028352)","37.7762540028806, -122.420676028352",,,,,,,
"(37.7975730481122, -122.409043928994)","37.7975730481122, -122.409043928994",,,,,,,
"(37.7945372364598, -122.394874899097)","37.7945372364598, -122.394874899097",,,,,,,
"(37.7638676440328, -122.419600224041)","37.7638676440328, -122.419600224041",,,,,,,
"(37.7638676440328, -122.419600224041)","37.7638676440328, -122.419600224041",,,,,,,
"(37.7754165687704, -122.434485055659)","37.7754165687704, -122.434485055659",,,,,,,
"(37.7752316978114, -122.403742962696)","37.7752316978114, -122.403742962696",,,,,,,
"(37.7760977755843, -122.444406199614)","37.7760977755843, -122.444406199614",,,,,,,
"(37.7798294192767, -122.402842748428)","37.7798294192767, -122.402842748428",,,,,,,
"(37.7880115303236, -122.401135170461)","37.7880115303236, -122.401135170461",,,,,,,
"(37.7733316677301, -122.411075138748)","37.7733316677301, -122.411075138748",,,,,,,
"(37.7589334708659, -122.508010096521)","37.7589334708659, -122.508010096521",,,,,,,
"(37.7148737118982, -122.455666413481)","37.7148737118982, -122.455666413481",,,,,,,
"(37.7869408998805, -122.411518820359)","37.7869408998805, -122.411518820359",,,,,,,
"(37.7561400516041, -122.406677245558)","37.7561400516041, -122.406677245558",,,,,,,
"(37.7868088327514, -122.435107179729)","37.7868088327514, -122.435107179729",,,,,,,
"(37.7148737118982, -122.455666413481)","37.7148737118982, -122.455666413481",,,,,,,
"(37.7642984128867, -122.4262118867)","37.7642984128867, -122.4262118867",,,,,,,
"(37.7642984128867, -122.4262118867)","37.7642984128867, -122.4262118867",,,,,,,
"(37.7816102568731, -122.409574494976)","37.7816102568731, -122.409574494976",,,,,,,
"(37.7776864127303, -122.407867537061)","37.7776864127303, -122.407867537061",,,,,,,
"(37.7776864127303, -122.407867537061)","37.7776864127303, -122.407867537061",,,,,,,
"(37.7334509801006, -122.390048154309)","37.7334509801006, -122.390048154309",,,,,,,
"(37.7939867990287, -122.401319002979)","37.7939867990287, -122.401319002979",,,,,,,
"(37.759691691831, -122.428203997155)","37.759691691831, -122.428203997155",,,,,,,
"(37.759691691831, -122.428203997155)","37.759691691831, -122.428203997155",,,,,,,
"(37.7513050185724, -122.434089046473)","37.7513050185724, -122.434089046473",,,,,,,
"(37.7729954122426, -122.412397542907)","37.7729954122426, -122.412397542907",,,,,,,
"(37.7618358012376, -122.419360352761)","37.7618358012376, -122.419360352761",,,,,,,
"(37.7811098899332, -122.462141270182)","37.7811098899332, -122.462141270182",,,,,,,
"(37.7884881521135, -122.421949487547)","37.7884881521135, -122.421949487547",,,,,,,
"(37.7978641744394, -122.406669739951)","37.7978641744394, -122.406669739951",,,,,,,
"(37.7823409551124, -122.425434757144)","37.7823409551124, -122.425434757144",,,,,,,
"(37.7190480591598, -122.436371646631)","37.7190480591598, -122.436371646631",,,,,,,
"(37.7810308461783, -122.420439512717)","37.7810308461783, -122.420439512717",,,,,,,
"(37.792262677181, -122.436204681076)","37.792262677181, -122.436204681076",,,,,,,
"(37.7847536577561, -122.421195221815)","37.7847536577561, -122.421195221815",,,,,,,
"(37.7869774998674, -122.42652192415)","37.7869774998674, -122.42652192415",,,,,,,
"(37.7810308461783, -122.420439512717)","37.7810308461783, -122.420439512717",,,,,,,
"(37.7273281687149, -122.395586686218)","37.7273281687149, -122.395586686218",,,,,,,
"(37.7824027114429, -122.425555758353)","37.7824027114429, -122.425555758353",,,,,,,
"(37.7190646492774, -122.388081170683)","37.7190646492774, -122.388081170683",,,,,,,
"(37.7529087730115, -122.38772399978)","37.7529087730115, -122.38772399978",,,,,,,
"(37.7713658941506, -122.437152175795)","37.7713658941506, -122.437152175795",,,,,,,
"(37.7752316978114, -122.403742962696)","37.7752316978114, -122.403742962696",,,,,,,
"(37.7837762385684, -122.41762232101)","37.7837762385684, -122.41762232101",,,,,,,
"(37.7769459155765, -122.416929458348)","37.7769459155765, -122.416929458348",,,,,,,
"(37.7203691906408, -122.387412061507)","37.7203691906408, -122.387412061507",,,,,,,
"(37.7714776245994, -122.413484442909)","37.7714776245994, -122.413484442909",,,,,,,
"(37.7714776245994, -122.413484442909)","37.7714776245994, -122.413484442909",,,,,,,
"(37.7889082821131, -122.38914388763)","37.7889082821131, -122.38914388763",,,,,,,
"(37.7806711005541, -122.399966276075)","37.7806711005541, -122.399966276075",,,,,,,
"(37.7822226458536, -122.398882384128)","37.7822226458536, -122.398882384128",,,,,,,
"(37.7850736197499, -122.411141948101)","37.7850736197499, -122.411141948101",,,,,,,
"(37.7795581696318, -122.410304498085)","37.7795581696318, -122.410304498085",,,,,,,
"(37.7105940136325, -122.418712842742)","37.7105940136325, -122.418712842742",,,,,,,
"(37.7381683051019, -122.389960179517)","37.7381683051019, -122.389960179517",,,,,,,
"(37.7304111101808, -122.374839441793)","37.7304111101808, -122.374839441793",,,,,,,
"(37.7878540750128, -122.412109462622)","37.7878540750128, -122.412109462622",,,,,,,
"(37.7974080855319, -122.425441324739)","37.7974080855319, -122.425441324739",,,,,,,
"(37.7331743040163, -122.381133787773)","37.7331743040163, -122.381133787773",,,,,,,
"(37.7544534411473, -122.403524795218)","37.7544534411473, -122.403524795218",,,,,,,
"(37.749326703275, -122.415926948585)","37.749326703275, -122.415926948585",,,,,,,
"(37.7610201697083, -122.432795347224)","37.7610201697083, -122.432795347224",,,,,,,
"(37.7453901680777, -122.420021755228)","37.7453901680777, -122.420021755228",,,,,,,
"(37.7765400380328, -122.417504703145)","37.7765400380328, -122.417504703145",,,,,,,
"(37.7765400380328, -122.417504703145)","37.7765400380328, -122.417504703145",,,,,,,
"(37.7824570677935, -122.392845456789)","37.7824570677935, -122.392845456789",,,,,,,
"(37.7743242867907, -122.417104895556)","37.7743242867907, -122.417104895556",,,,,,,
"(37.778719262789, -122.414743835382)","37.778719262789, -122.414743835382",,,,,,,
"(37.7822305870036, -122.41029351969)","37.7822305870036, -122.41029351969",,,,,,,
"(37.727631302439, -122.423123727204)","37.727631302439, -122.423123727204",,,,,,,
"(37.727631302439, -122.423123727204)","37.727631302439, -122.423123727204",,,,,,,
"(37.727631302439, -122.423123727204)","37.727631302439, -122.423123727204",,,,,,,
"(37.7564995730044, -122.421122531675)","37.7564995730044, -122.421122531675",,,,,,,
"(37.7827317884887, -122.406481972743)","37.7827317884887, -122.406481972743",,,,,,,
"(37.7745522802252, -122.422502486289)","37.7745522802252, -122.422502486289",,,,,,,
"(37.7941804323514, -122.40245400167)","37.7941804323514, -122.40245400167",,,,,,,
"(37.7835160564153, -122.415885065788)","37.7835160564153, -122.415885065788",,,,,,,
"(37.7835160564153, -122.415885065788)","37.7835160564153, -122.415885065788",,,,,,,
"(37.7993946618998, -122.43930620989)","37.7993946618998, -122.43930620989",,,,,,,
"(37.7757403536826, -122.424436633246)","37.7757403536826, -122.424436633246",,,,,,,
