year,month,west,,
1968,1,17,,
1968,2,18.6,,
1968,3,17.4,,"select year, month, west from tutorial.us_housing_units"
1968,5,20,,where west <=20
1968,11,18.4,,
1969,1,19.7,,
1975,3,20,,
1975,4,19.8,,
1981,11,19.6,,
1982,1,17.3,,
1982,2,15.1,,
1982,3,17.5,,
1982,4,16.4,,
1982,5,14.5,,
1982,6,18.4,,
1982,7,17.2,,
1982,8,17,,
1982,9,14.5,,
1982,10,17.9,,
1982,11,19.2,,
1982,12,18.1,,
1983,1,17.9,,
1983,2,16.5,,
1983,3,20,,
1983,4,19.7,,
1992,2,19.6,,
1993,2,18.5,,
1993,3,20,,
2008,2,16.5,,
2008,4,19,,
2008,8,19.6,,
2009,1,12.6,,
2009,2,14.8,,
2009,3,16.8,,
2009,4,13.8,,
2009,5,16.4,,
2009,6,16.4,,
2009,7,17,,
2009,8,14.5,,
2009,9,15.9,,
2009,10,17.2,,
2009,11,17.3,,
2009,12,14.8,,
2010,1,13.9,,
2010,2,11.2,,
2010,3,12.5,,
2010,4,10.5,,
2010,5,14.9,,
2010,7,9.8,,
2010,8,10.9,,
2010,9,13.2,,
2010,10,10,,
2010,11,8.4,,
2010,12,11.2,,
2011,1,7.2,,
2011,2,8.1,,
2011,3,7.4,,
2011,4,7.7,,
2011,5,11.1,,
2011,6,8.8,,
2011,7,8.5,,
2011,8,12.4,,
2011,9,10.7,,
2011,10,9.8,,
2011,11,10.5,,
2011,12,11.9,,
2012,1,6,,
2012,2,7.4,,
2012,3,9.1,,
2012,4,11.9,,
2012,5,10.1,,
2012,6,10.9,,
2012,7,11.7,,
2012,8,16.5,,
2012,9,13,,
2012,10,13.5,,
2012,11,14,,
2012,12,15.3,,
2013,1,12.5,,
2013,2,12.2,,
2013,3,18.2,,
2013,4,12,,
2013,5,12.9,,
2013,6,16.1,,
2013,7,16.5,,
2013,8,15.1,,
2013,9,14.3,,
2013,10,15.7,,
2013,11,17.5,,
2013,12,16.1,,
2014,1,12.6,,
2014,2,13.5,,
2014,3,15.8,,
2014,4,15,,
2014,5,17.5,,
2014,6,15.2,,
2014,7,15.9,,
