companies_permalink,companies_name,acquisitions_permalink,acquired_date,,,
/company/8868,8868,,,,,"SELECT companies.permalink AS companies_permalink,"
/company/21e6,2.10E+07,,,,,"       companies.name AS companies_name,"
/company/club-domains,.Club Domains,,,,,"       acquisitions.company_permalink AS acquisitions_permalink,"
/company/fox-networks,.Fox Networks,,,,,       acquisitions.acquired_at AS acquired_date
/company/a-list-games,[a]list games,,,,,  FROM tutorial.crunchbase_acquisitions acquisitions
/company/pay-mobile-checkout,@Pay,,,,, RIGHT JOIN tutorial.crunchbase_companies companies
/company/tv-communications,&TV Communications,,,,,    ON companies.permalink = acquisitions.company_permalink
/company/waywire,#waywire,/company/waywire,10/17/13,,,
/company/0-6-com,0-6.com,,,,,
/company/0xdata,0xdata,,,,,
/company/1-800-doctors,1-800-DOCTORS,,,,,
/company/10-20-media,10-20 Media,,,,,
/company/1000jobboersen-de,1000jobboersen.de,,,,,
/company/1000memories,1000memories,/company/1000memories,10/03/2012,,,
/company/1000museums-com,1000museums.com,,,,,
/company/1001-menus,1001 Menus,,,,,
/company/100du-tv,100du.tv,,,,,
/company/100e-com,100e.com,,,,,
/company/100plus,100Plus,,,,,
/company/1010data,1010data,,,,,
/company/10bestthings,10BestThings,,,,,
/company/10x-technologies,10X Technologies,,,,,
/company/10x10-room,10X10 Room,,,,,
/company/121cast,121cast,,,,,
/company/1234enter,1234ENTER,,,,,
/company/123contactform,123ContactForm,,,,,
/company/12society,12Society,/company/12society,07/03/2013,,,
/company/1366-technologies,1366 Technologies,,,,,
/company/139shop,139shop,,,,,
/company/13th-lab,13th Lab,,,,,
/company/140-proof,140 Proof,,,,,
/company/140fire,140Fire,,,,,
/company/15five,15Five,,,,,
/company/15minutesnow,15MinutesNOW,,,,,
/company/169-st,169 ST.,,,,,
/company/170-systems,170 Systems,,,,,
/company/1bib,1bib,,,,,
/company/1c-company,1C Company,,,,,
/company/1calendar,1calendar,,,,,
/company/1cast,1Cast,,,,,
/company/1click,1CLICK,,,,,
/company/1daylater,1DayLater,,,,,
/company/1daymakeover,1DayMakeover,,,,,
/company/1energy-systems,1Energy Systems,,,,,
/company/1eq,1eq,,,,,
/company/1life-healthcare,1Life Healthcare,,,,,
/company/1o1media,1o1Media,,,,,
/company/1ring,1Ring,,,,,
/company/1sdk,1SDK,,,,,
/company/1stdibs,1stdibs,,,,,
/company/1stgig-com,1stGig.com,,,,,
/company/1world-online,1World Online,,,,,
/company/2-minutes,2 Minutes,,,,,
/company/20-20-mobile,20:20 Mobile,,,,,
/company/2080-media,2080 Media,,,,,
/company/20x200,20x200,,,,,
/company/21cake-food-co,21Cake Food Co.,,,,,
/company/21grams,21GRAMS,,,,,
/company/21vianet,21viaNet,,,,,
/company/22nd-century-group,22nd Century Group,,,,,
/company/2345-com,2345.com,,,,,
/company/23andme,23andMe,,,,,
/company/23press,23press,,,,,
/company/24-media-network,24 Media Network,,,,,
/company/24-7-card,24/7 Card,,,,,
/company/247-techies,247 Techies,,,,,
/company/24pagebooks,24PageBooks,,,,,
/company/247-learning-private,24x7 Learning,,,,,
/company/250ok,250ok,,,,,
/company/25eight,25eight,,,,,
/company/27-perry,27 Perry,,,,,
/company/280-north,280 North,/company/280-north,07/01/2010,,,
/company/280-north,280 North,/company/280-north,07/01/2010,,,
/company/28msec,28msec,,,,,
/company/2c2p,2C2P,,,,,
/company/2can,2can,,,,,
/company/2catalyze,2Catalyze,,,,,
/company/2code-online,2CODE Online,,,,,
/company/2crisk,2CRisk,,,,,
/company/2d2c,2d2c,,,,,
/company/in-and-out-cash-management-software,2DOLife.com,,,,,
/company/2duche,2Duche,,,,,
/company/2go-software-solutions,2GO Mobile Solutions,,,,,
/company/2houses,2houses,,,,,
/company/2ndnature-2,2NDNATURE,,,,,
/company/2sms,2sms,,,,,
/company/2u,2U,,,,,
/company/2vancouver,2Vancouver,,,,,
/company/2web-technologies,2Web Technologies,/company/2web-technologies,06/01/2006,,,
/company/2win-solutions,2Win-Solutions,,,,,
/company/30-second-showcase,30 Second Showcase,,,,,
/company/33across,33Across,,,,,
/company/360cities,360Cities,,,,,
/company/360guanxi,360Guanxi,,,,,
/company/360imaging,360imaging,,,,,
/company/360incentives-com,360incentives.com,,,,,
/company/360learning,360Learning,,,,,
/company/gazaro,360pi,,,,,
/company/365scores,365Scores,,,,,
/company/365webcall,365webcall,,,,,
